Feature,Importance
pred_cap_pct,1.351807641384717
signing_age,0.06347425260675177
Hits Taken,0.014615477509566155
sum iHDCF,0.009703608753826365
mean Faceoffs %,0.009163257542806447
Shots Blocked,0.008897536565223407
3yr On The Fly Starts/60,0.006119232586774936
sum GP,0.005630070896989858
GF% Rel,0.004936589118786028
3yr Neu. Zone Faceoffs/60,0.004771480819147023
On-Ice SH%,0.004700007845934051
mean Penalties Drawn,0.00440720072288725
On The Fly Starts/60,0.004007214477382948
mean Penalties Drawn/60,0.0036641637912611102
mean TOI,0.003476321894537282
mean PIM/60,0.0034497853551171964
3yr MDGA/60 Rel,0.00324693280699595
Hits,0.0032266778690573927
iHDCF,0.0029522217095339087
sum Shots,0.0029501248204961694
sum Shots Blocked,0.0029382813486052983
mean Second Assists,0.0028554768039135148
3yr PDO,0.002820585458540581
3yr Def. Zone Starts/60,0.0025363464593046725
3yr Off. Zone Start %,0.0024296576069928744
On-Ice SV%,0.0021511254721863216
Goals,0.002134739636381111
Shots/60,0.0018738467846163287
3yr HDGF/60 Rel,0.0017096236906487539
MDCA/60 Rel,0.001521344659068502
sum Penalties Drawn,0.001485777441397218
Shots,0.0014824102378075965
mean Hits/60,0.0014392334030337572
CA/60 Rel,0.0014220979232020259
Penalties Drawn,0.0012816583141825877
mean Total Points/60,0.001266534365398586
FF% Rel,0.0012414161392655387
sum Total Penalties,0.001235032530984892
3yr Off. Zone Faceoffs/60,0.001206513684938404
3yr GA/60 Rel,0.0012000981154900447
Giveaways/60,0.0011894607065463525
3yr LDCF% Rel,0.0011540256699449358
Rebounds Created,0.0010353943996239678
CF/60 Rel,0.0009544796398720523
Second Assists,0.0009058802741352956
mean Shots Blocked,0.0008852496337254934
Minor,0.0008433485379583106
sum Giveaways,0.0007932175883766934
Takeaways/60,0.00079089943640831
TOI/GP,0.0007811818650698132
3yr SCA/60 Rel,0.0007261214779744618
3yr LDCA/60 Rel,0.0006607739268031931
mean Shots/60,0.0005991261736327802
SF% Rel,0.0005942363944038132
SCA/60 Rel,0.0005910719696166078
sum Rush Attempts,0.0005277482085603857
sum Total Assists,0.0005192381358307685
SA/60 Rel,0.0005105192902323807
mean Shots Blocked/60,0.0004923157152552093
HDGA/60 Rel,0.0004802875931875228
mean iFF,0.00047242138008896095
mean Giveaways/60,0.00046907209380964154
mean Goals,0.0004540986370109579
PIM,0.00044485327339316427
SCF/60 Rel,0.0004316783770677013
sum Takeaways,0.0004278987903998388
3yr CF% Rel,0.0004237051227495847
mean First Assists,0.00042032494903243567
Rush Attempts,0.0004095203793010871
3yr HDCF/60 Rel,0.0003965797983280783
3yr LDCF/60 Rel,0.0003813606042208928
FF/60 Rel,0.00038067324954105253
MDGA/60 Rel,0.0003415207519289476
mean Goalness,0.00031820780822910955
TOI,0.0003149404874476236
mean Rebounds Created,0.00030831250968588186
MDGF% Rel,0.0003072132804519123
Def. Zone Starts/60,0.00028267992291297617
3yr TOI/GP,0.00022825159162942477
iSCF,0.0001951824443625627
signing_status,0.00017246856019714762
mean Faceoffs Lost,0.0001675153951585795
Faceoffs Won,0.00016585255948886601
sum Faceoffs Lost,0.0001590149439061328
MDGF/60 Rel,0.00014250298544782325
HDCF/60 Rel,0.00012220468607448964
LDCA/60 Rel,8.631217482324427e-05
LDGF/60 Rel,8.077275151818775e-05
3yr SA/60 Rel,5.604537188741432e-05
Neu. Zone Starts/60,4.715627641793674e-05
Goalness,2.6155388088699993e-05
Misconduct,1.705971998133826e-05
mean Hits Taken,1.0822969294888019e-05
3yr FF/60 Rel,0.0
3yr CF/60 Rel,0.0
3yr FF% Rel,0.0
sum Goals,0.0
3yr GF/60 Rel,0.0
Neu. Zone Faceoffs/60,0.0
sum Faceoffs Won,0.0
3yr GF% Rel,0.0
3yr Off. Zone Starts/60,0.0
PIM/60,0.0
Total Assists,0.0
First Assists,0.0
mean Goals/60,0.0
Total Points/60,0.0
iCF,0.0
3yr Def. Zone Faceoffs/60,0.0
3yr MDGF% Rel,0.0
3yr SCF/60 Rel,0.0
3yr MDCF% Rel,0.0
3yr MDCA/60 Rel,0.0
Off. Zone Starts/60,0.0
Faceoffs Lost,0.0
3yr HDCF% Rel,0.0
3yr SCF% Rel,0.0
