Feature,Importance
Total Points,0.07000982070260764
TOI,0.05609813461519986
3yr TOI/GP,0.03143927000573166
TOI/GP,0.02161090390841014
iCF,0.020718090170987247
mean Total Assists,0.01910665260087485
Total Assists,0.017446345620476422
On-Ice SH%,0.01596089957228186
signing_age,0.014933911564983138
mean Total Points,0.013648063495167562
mean TOI,0.010346359840362807
mean Total Points/60,0.005175291998732345
sum Total Assists,0.004525754816428917
iFF,0.0041780854115535115
On The Fly Starts/60,0.0035988355991053433
iSCF,0.0028927631012252153
sum Second Assists,0.0027189932066107314
mean Shots,0.002410972065662542
SCF/60 Rel,0.0022234153899740594
sum Faceoffs Won,0.001987529738524896
Def. Zone Starts/60,0.0018908731833567893
MDGF/60 Rel,0.0018748729266623299
3yr GA/60 Rel,0.0015996723585584016
Shots Blocked,0.001465924531453222
MDCF/60 Rel,0.0013996924001030697
LDGA/60 Rel,0.0013245277187904358
GA/60 Rel,0.001315345045962757
Total Points/60,0.0012927014160702965
mean First Assists,0.0012250134751004005
Giveaways/60,0.0011727221283719391
mean Shots Blocked,0.0011469363530840493
sum iSCF,0.0011296476562530078
3yr MDCA/60 Rel,0.0011291373930052417
3yr On-Ice SH%,0.001085881400287425
mean Second Assists,0.0010314690359707335
Goals,0.0010213929700017
sum Penalties Drawn,0.0009569452044561055
MDGA/60 Rel,0.0009272987117110443
mean Faceoffs %,0.0008502126689455825
sum First Assists,0.0007475467000511715
3yr HDCF% Rel,0.0006787167559699769
sum GP,0.0006782987271657381
mean GP,0.0006502727982475864
3yr SCA/60 Rel,0.0006314588303314439
mean Rush Attempts,0.0006292187573008201
sum Hits Taken,0.000607826853084581
3yr LDGA/60 Rel,0.0005732070504801401
Def. Zone Faceoffs/60,0.0005648666176708561
Goalness,0.0005520388034107038
Goals/60,0.0004315257460100197
sum Shots,0.0004299817441186793
FA/60 Rel,0.00042915805772969495
3yr PDO,0.0004129687039389207
3yr LDCF/60 Rel,0.00038588226604485687
CF/60 Rel,0.0003382830380336266
3yr On The Fly Starts/60,0.00033320175661033513
3yr Off. Zone Starts/60,0.00033268097235350513
Minor,0.00031423990063894625
sum Minor,0.00030037923972781044
mean Hits Taken,0.0002994820344042193
Neu. Zone Faceoffs/60,0.0002972336375930418
mean iSCF,0.00029407118683144606
mean Penalties Drawn/60,0.0002875881129889013
mean Faceoffs Won,0.0002790896530898701
sum Giveaways,0.00024062471755437187
mean iHDCF,0.0002399624828336444
sum Total Points,0.00023441449097938438
LDGF% Rel,0.00021843458053272258
First Assists,0.00019059015691413883
iHDCF,0.00016324672492384895
Rush Attempts,0.00016249585593819393
Hits Taken,0.00014621820267179952
mean Minor,0.00014483259522446446
GF% Rel,0.00012214966233770053
mean Rebounds Created,0.00011853604629896708
GP,9.399110047725312e-05
mean Goals/60,8.771072439495153e-05
3yr Off. Zone Faceoff %,5.213840012030513e-05
